bbl,address,ownername,property_manager,yearalter,numfloors,unitstotal,total_gross_floor_area,office_sqft,% Leased,LL33 grade,Latest_ENERGY_STAR_Score,Latest_Target_ENERGY_STAR_Score,Estimated_Target_ENERGY_STAR_Score,Class,LandlordContact,GreenRating,neighborhood
1007850067,"242 W 36th St, New York, NY 10018",Kaufman Organization,Kaufman Organization,1962,13,37,152667,142667,66.7,A,91,,89,C,Grant Greenspan (212) 471-4340 (p),,Midtown-Times Square
1007860013,"255 W 36th St, New York, NY 10018",Triangle Assets,Triangle Assets,2017,14,15,120459,112418,92,N (exempt),60,90,,B,Benjamin Stavrach (212) 398-1214 (p),,Midtown-Times Square
1007860023,"229 W 36th St, New York, NY 10018",Empire State Realty Trust,Lee & Associates,2008,12,29,130000,110500,53.7,A,86,,86,B,Todd Korren (212) 776-1283 (p),,Midtown-Times Square
1007860051,"498 7 Ave, New York, NY 10018",Vornado Realty Trust,George Comfort & Sons,2010,24,1,936037,724637,100,A,87,90,,A,Andrew Conrad (212) 542-2101 (p),,Midtown-Times Square
1007860068,"240 W 37th St, New York, NY 10018",Sioni Group,LSL Advisors,1929,10,42,145720,118016,94.3,A,86,,87,B,Daniel Lolai (212) 278-8071 (p),,Midtown-Times Square
1007870020,"241 W 37th St, New York, NY 10018",Chetrit Group,Sido New York,1985,12,1,93948,74631.7,100,A,95,85,,B,John Akleh (917) 660-4162 (p),Energy Star,Midtown-Times Square
1007870040,"500 7 Ave, New York, NY 10018",Moinian Group,Cushman & Wakefield,2000,17,1,606000,587078,100,B,70,,73,B,Garett Varricchio (212) 841-5056 (p),,Garment District
1007870044,"512 7 Ave, New York, NY 10018",Moinian Group,Cushman & Wakefield,2000,45,1,553748,470685.8,100,B,71,,72,B,Garett Varricchio (212) 841-5056 (p),,Garment District
1007870072,"256 W 38th St, New York, NY 10018",Empire State Realty Trust,Lee & Associates,2014,14,18,96736,88736,54,A,91,,94,B,Benjamin Blumenthal (212) 947-7120 (p),,Midtown-Times Square
1007880004,"580 8 Ave, New York, NY 10018",Miriam Ungar,Olmstead Properties,1964,20,27,75115,65649,43.7,N (exempt),85,,85,C,Steven Marvin (212) 564-2141 (p),,Midtown-Times Square
1007880049,"530 7 Ave, New York, NY 10018",Savitt Partners,Savitt Partners,2017,30,1,340000,346910.5,100,A,93,,86,B,Nicole Goetz (212) 452-6053 (p),,Midtown-Times Square
1007880073,"250 W 39th St, New York, NY 10018",Lincoln Property,Newmark,2007,17,45,181921,176921,88.9,A,99,,100,B,JD Cohen (212) 850-5476 (p),,Garment District
1007890014,"251 W 39th St, New York, NY 10018",Miriam Ungar,Olmstead Properties,2010,17,23,117554,81725,87.4,A,98,,91,B,Steven Marvin (212) 564-2141 (p),,Garment District
1007890021,"231 W 39th St, New York, NY 10018",Schur Management Company,Adams & Company,1989,12,84,218558,198558,83.1,A,93,,88,B,Jeff Buslik (917) 326-5532 (p),LEED Gold,Garment District
1007890036,"550 7 Ave, New York, NY 10018",Adler Group,Kaufman Organization,2017,23,30,225981,214981,93.8,B,79,,78,B,Michael Heaner (212) 471-4310 (p),,Midtown-Times Square
1007890052,"218 W 40th St, New York, NY 10018",Block Buildings,Savitt Partners,1985,12,35,166315,127486,72.9,A,96,,94,B,,,Midtown-Times Square
1007890062,"240 W 40th St, New York, NY 10018",Sioni Group,LSL Advisors,2004,12,1,145773,128099,100,B,72,85,,B,Daniel Lolai (212) 278-8071 (p),,Midtown-Times Square
1007940017,"135 W 18th St, New York, NY 10011",P.J. Mechanical,Newmark,1989,5,12,52500,44625,19.5,B,72,,84,B,Alexander Kesseler (212) 372-0766 (p),LEED Gold,Chelsea-Hudson Yards
1007940030,"615 Ave Of The Americas, New York, NY 10011",RXR Realty,RXR Property Management,1987,5,1,134235,127523.25,100,N (exempt),26,,48,B,,,Chelsea-Hudson Yards
1007950028,"111 W 19th St, New York, NY 10011",Kaufman Organization,Kaufman Organization,2015,8,8,165513,125013,100,C,63,,77,C,Michael Heaner (212) 471-4310 (p),,Chelsea-Hudson Yards
1007950037,"635 Ave Of The Americas, New York, NY 10011",Spear Street,CBRE,2015,8,17,76651,65153.35,78.3,D,33,,66,B,Paul Amrich (212) 984-8122 (p),,Chelsea-Hudson Yards
1007950044,"641 Ave Of The Americas, New York, NY 10011",Spear Street,CBRE,1987,8,20,173891,127402.25,74.3,B,70,54,,A,Paul Amrich (212) 984-8122 (p),,Chelsea-Hudson Yards
1007990012,"155 W 23rd St, New York, NY 10011",MC Real Estate Partners,Kaufman Organization,2017,12,6,68940,64386,100,A,90,,86,B,Jared Sternberg (212) 471-4352 (p),,Chelsea
1007990028,"119 W 23rd St, New York, NY 10011",Stellar Management,JBA Commercial,1989,10,1,98800,94400,100,B,71,64,,C,Jonathan Bernstein (212) 366-4832 (p),,Chelsea-Hudson Yards
1008000025,"119 W 24th St, New York, NY 10011",China Orient Asset Management Corporation,Kaufman Organization,2017,12,1,130876,130876,100,C,66,,80,B,Grant Greenspan (212) 471-4340 (p),LEED Gold,Chelsea-Hudson Yards
1008000065,"150 W 25th St, New York, NY 10001",Dezer Properties,Dezer Properties,1983,12,8,66528,60984,77,A,96,,98,C,Richard Angel (212) 929-1285 (p),,Chelsea
1008010001,"275 7 Ave, New York, NY 10001",Vornado Realty Trust,CBRE,1985,27,50,548680,371788,73.7,B,69,75,,B,Ross Zimbalist (212) 984-8162 (p),,Garment District
1008010024,"119 W 25th St, New York, NY 10001",AFIAA,Cushman & Wakefield,2016,12,13,128947,113062,100,B,75,,73,B,Harley Dalton (212) 589-5106 (p),,Chelsea
1008010055,"122 W 26th St, New York, NY 10001",Dezer Properties,Dezer Properties,2013,12,19,75888,64856,100,A,94,,96,B,,,Chelsea
1008020008,"151 W 26th St, New York, NY 10001",Abner Properties,Koeppel Rosen,1989,12,24,179131,171919,67.4,B,70,,78,C,Max Koeppel (212) 249-1855 (p),,Chelsea
1008020056,"122 W 27th St, New York, NY 10001",Rosen Equities,Koeppel Rosen,1996,12,19,117291,109291,36.8,A,87,,89,C,Max Koeppel (212) 249-1855 (p),,Midtown South-Flatiron-Union Square
1008020075,"158 W 27th St, New York, NY 10001",AFIAA,Cushman & Wakefield,2012,12,14,108000,89764.488,100,A,90,88,,B,,,Midtown South-Flatiron-Union Square
1008030021,"121 W 27th St, New York, NY 10001",Mehra Properties,Okada & Company,2015,12,57,118785,104629,97.8,B,80,,80,B,Avery Reavill (212) 244-4240 (p),,Midtown South-Flatiron-Union Square
1008030067,"150 W 28th St, New York, NY 10001",Dezer Properties,Dezer Properties,2002,18,76,123557,111615,93.3,A,93,,90,C,Richard Angel (212) 929-1285 (p),,Chelsea
1008040001,"319 7 Ave, New York, NY 10001",Vornado Realty Trust,CBRE,1980,21,29,410334,106800,51.1,C,67,75,,A,Anthony Dattoma (212) 984-7101 (p),,Garment District
1008040011,"145 W 28th St, New York, NY 10001",Dezer Properties,Living New York,2011,12,18,57906,53406,100,A,86,,86,B,Christel Engel (917) 696-3532 (p),,Chelsea
1008040044,"104 W 29th St, New York, NY 10001",Samco Properties,Newmark,2003,12,12,130060,114079,100,A,90,,90,B,Brett Harvey (212) 372-2099 (p),,Midtown South-Flatiron-Union Square
1008050003,"345 7 Ave, New York, NY 10001",Katan Realty Group,Okada & Company,2020,25,72,190325,183366,49.3,A,97,,92,A,Ralph Giordano (212) 244-4240 (p),,Midtown South-Flatiron-Union Square
1008050019,"135 W 29th St, New York, NY 10001",Kaufman Organization,Kaufman Organization,2000,12,45,70862,70222,79.8,A,95,90,,B,Grant Greenspan (212) 471-4340 (p),,Midtown South-Flatiron-Union Square
1008060009,"145 W 30th St, New York, NY 10001",Feil Organization,Feil Organization,2001,12,1,98598,74397.1,100,N (exempt),92,,90,B,Kyle Young (212) 609-8658 (p),,Midtown South-Flatiron-Union Square
1008070001,"393 7 Ave, New York, NY 10001",Vornado Realty Trust,Vornado Realty Trust,2010,26,78,1132632,1073917.209,85.3,B,75,,61,A,,,Garment District
1008070039,"875 Ave Of The Americas, New York, NY 10001",Kaufman Organization,Kaufman Organization,2008,25,47,214349,182196.65,76.7,N (exempt),83,,81,B,Grant Greenspan (212) 471-4340 (p),,Bryant Park
1008080040,"100 W 33rd St, New York, NY 10001",Vornado Realty Trust,Vornado Realty Trust,2016,12,82,1123365,766718,100,A,92,,86,B,Jared Silverman (212) 894-7458 (p),,Midtown South-Flatiron-Union Square
1008110021,1333 BROADWAY,Empire State Realty Trust,Cushman & Wakefield,2013,12,120,313294,153018,91.8,B,27,,41,B,Anthony LoPresti (212) 841-7500 (p),,Midtown
1008110031,"1350 Broadway, New York, NY 10018",Empire State Realty Trust,Cushman & Wakefield,2008,24,111,386786,342926,97.8,A,86,85,,A,Robert Lowe (212) 841-5974 (p),,Financial District
1008110051,"132 W 36th St, New York, NY 10018",Kaufman Organization,Kaufman Organization,2019,12,35,187350,168050,100,A,93,,90,B,,,Midtown-Times Square
1008110056,"142 W 36th St, New York, NY 10018",ADAM Asset Management,Cushman & Wakefield,2013,16,23,101203,88203,87.5,A,94,78,,B,,,Midtown-Times Square
1008120006,"491 7 Ave, New York, NY 10018",Block Buildings,Savitt Partners,2014,25,1,182000,180000,100,A,91,,88,B,Elliot Zelinger (212) 452-6078 (p),,Midtown-Times Square
1008120069,"148 W 37th St, New York, NY 10018",Adams & Company,Adams & Company,2017,14,29,93846,87846,100,A,94,,94,B,Jeff Buslik (917) 326-5532 (p),,Garment District
1008130055,"1385 Broadway, New York, NY 10018",Columbia University,Savitt Partners,2019,23,303,499340,422642,95.3,A,90,,82,B,Nicole Goetz (212) 452-6053 (p),,Midtown-Times Square
1008140046,"108 W 39th St, New York, NY 10018",Joseph P. Day,Joseph P. Day,2018,16,97,118949,111449,74.6,A,91,,85,B,Michael Kaufman (212) 563-3000 info@kaufmanorganization.com,,Midtown-Times Square
1008150001,"1411 Broadway, New York, NY 10018",La Caisse,CBRE,2016,42,1,1088074,924862.9,100,B,79,60,,A,Paul Amrich (212) 984-8122 (p),,Financial District
1008150014,"1412 Broadway, New York, NY 10018",ABS Partners,Okada & Company,2014,24,79,361767,361767,81.2,A,88,85,,B,Thomas Capuano (212) 244-4240 (p),,Midtown-Times Square
1008150046,"1430 Broadway, New York, NY 10018",Steinberg,Newmark,2019,22,1,364000,309400,100,C,59,,73,B,Kenneth Kronstadt (646) 441-3837 (p),,Midtown-Times Square
1008160037,"84 5 Ave, New York, NY 10011",Vornado Realty Trust,Vornado Realty Trust,2014,11,4,139895,125508,99.1,B,84,,81,A,Alexandra Bedell (212) 894-7407 (p),LEED Gold,Midtown South-Flatiron-Union Square
1008190010,"47 W 17th St, New York, NY 10011",Argo Real Estate,Okada & Company,2017,12,42,204970,152308.1,73.9,A,91,,87,B,Christopher Okada (212) 244-4240 (p),,Midtown South-Flatiron-Union Square
1008190037,"118 5 Ave, New York, NY 10011",Century Link,Newmark,1987,11,7,70800,60257,82.1,B,72,,89,B,Robert Silver (212) 372-2005 (p),,Midtown South-Flatiron-Union Square
1008190039,"122 5Th Ave, New York, NY 10011",Bromley Companies,Newmark,2022,11,4,244069,150954,90.5,A,94,,84,A,David Falk (212) 372-2271 (p),,Midtown South-Flatiron-Union Square
1008190056,"18 W 18th St, New York, NY 10011",C.A. White,CBRE,2018,11,37,180000,157500,65.9,A,99,,98,B,Paul Amrich (212) 984-8122 (p),,Midtown South-Flatiron-Union Square
1008200026,"23 W 18th St, New York, NY 10011",Kaufman Organization,Alfa Development Management,2018,11,20,191400,165500,100,A,98,,98,B,Matthew Namer (212) 206-7820 (p),,Midtown South-Flatiron-Union Square
1008200038,"130 5 Ave, New York, NY 10011",Hampton Management Co,Newmark,1983,11,11,120000,104140,100,B,84,,79,A,Eric Cagner (212) 372-2279 (p),,Bryant Park
1008210014,"39 W 19th St, New York, NY 10011",Abner Properties,Koeppel Rosen,2019,12,15,107152,99614,76.1,N (exempt),32,,64,C,Max Koeppel (212) 249-1855 (p),,Chelsea
1008210032,"11 W 19th St, New York, NY 10011",Block Buildings,Savitt Partners,1987,11,19,284180,207320,100,A,86,70,,B,Robert Savitt (212) 452-6040 (p),,Midtown South-Flatiron-Union Square
1008210041,"148 5 Ave, New York, NY 10011",Sovereign Partners,Newmark,2019,11,25,187536,168259,97.7,A,87,,84,A,Gary Alterman (212) 916-3367 (p),,Bryant Park
1008210055,"18 W 20th St, New York, NY 10011",Dezer Properties,Dezer Properties,1997,11,56,93722,86622,92.4,A,94,,100,C,Richard Angel (212) 929-1285 (p),,Chelsea
1008220015,"27 W 20th St, New York, NY 10011",Dezer Properties,Dezer Properties,2016,12,62,100800,92400,86,A,96,,98,B,Richard Angel (212) 929-1285 (p),,Chelsea
1008220031,"154 5 Ave, New York, NY 10118",Hines,Hines,1979,13.5,52,159009,159009,100,B,76,85,,B,,,Midtown South-Flatiron-Union Square
1008220049,"12 W 21st St, New York, NY 10010",Himmel + Meringoff,Himmel + Meringoff,2012,12,12,58900,50000,100,C,87,,85,B,Adam Weissleder (212) 337-7763 (p),,Chelsea
1008220052,"18 W 21st St, New York, NY 10010",Kaufman Organization,Rice,1993,11,12,45873,45873,90.6,B,74,,87,C,Douglas Rice (212) 253-8703 (p),,Midtown South-Flatiron-Union Square
1008220070,"54 W 21st St, New York, NY 10010",Olmstead Properties,Olmstead Properties,1985,12,51,142532,132635,88.4,A,92,,86,B,Daniel Breiman (212) 564-4115 (p),,Chelsea
1008230024,"19 W 21st St, New York, NY 10010",Mehra Properties,Okada & Company,2020,12,49,118948,103384,100,A,95,,89,B,Avery Reavill (212) 244-4240 (p),,Midtown South-Flatiron-Union Square
1008230029,"15 W 21st St, New York, NY 10010",Himmel + Meringoff,JLL,1989,12,17,137007,117007,86.3,B,93,,94,B,Harrison Potter (212) 812-6558 (p),,Chelsea
1008240028,"40 W 23rd St, New York, NY 10010",Williams Equities,Colliers,2012,12,23,499228,353202,100,N (exempt),77,,72,B,Mac Roos (212) 716-3827 (p),,Midtown South-Flatiron-Union Square
1008240032,"3 W 22nd St, New York, NY 10010",Greystone,Current Real Estate Advisors,2013,10,18,81527,80999,63.2,A,94,,94,B,Thomas Mahl (917) 576-9509 (p),,Midtown South-Flatiron-Union Square
1008250012,"49 W 23rd St, New York, NY 10010",Jack Resnick & Sons,Adams & Company,2010,12,64,337000,289619,98.3,A,95,,89,B,Alan Bonett (917) 326-5533 (p),,Chelsea
1008260026,"19 W 24th St, New York, NY 10010",Kaufman Organization,Kaufman Organization,2016,12,13,51659,47659,100,D,32,,60,B,Michael Heaner (212) 471-4310 (p),,Midtown South-Flatiron-Union Square
1008260046,"1115 Broadway, New York, NY 10010",Adams & Company,Kew Management,2012,12,50,294000,241749,96.8,A,95,,91,B,Jonathan Cohen (212) 255-3346 (p),,Midtown South-Flatiron-Union Square
1008260057,"24 W 25th St, New York, NY 10010",Savanna Real Estate Fund,Cushman & Wakefield,2019,12,28,114806,105128,87.7,A,93,100,,B,Theodora Livadiotis (212) 841-7648 (p),,Midtown South-Flatiron-Union Square
1008260065,"40 W 25th St, New York, NY 10010",Kaufman Organization,Kaufman Organization,2012,12,1,128965,124242,100,A,95,,90,B,Michael Kaufman (212) 471-4320 (p),,Midtown South-Flatiron-Union Square
1008260069,"48 W 25th St, New York, NY 10010",Savanna Real Estate Fund,Cushman & Wakefield,1985,12,13,107473,90718,92.2,A,94,85,,B,Ethan Silverstein (212) 698-2694 (p),,Midtown South-Flatiron-Union Square
1008280009,"37 W 26th St, New York, NY 10010",Windsor Management,Windsor Management,1986,12,25,112259,93418,92.1,A,86,,90,B,Matthew Kiamie (212) 213-2112 (p),LEED Gold,Midtown South-Flatiron-Union Square
1008280033,"1140 Broadway, New York, NY 10001",Williams Equities,Colliers,1989,16,63,140906,114730,93.1,A,89,,87,B,Michael Joseph (212) 716-3593 (p),,Midtown South-Flatiron-Union Square
1008290011,"45 W 27th St, New York, NY 10001",Kaufman Organization,Kaufman Organization,2016,12,12,54238,50238,74.4,D,33,,59,B,Michael Heaner (212) 471-4310 (p),,Midtown South-Flatiron-Union Square
1008290016,"31 W 27th St, New York, NY 10001",Savanna Real Estate Fund,CBRE,2019,12,15,106799,96800,79.4,N (exempt),80,85,,A,Paul Amrich (212) 984-8122 (p),,Midtown South-Flatiron-Union Square
1008290032,"13 W 27th St, New York, NY 10001",Kaufman Organization,Kaufman Organization,2015,11,11,50234,45668,91,D,43,,66,B,Michael Heaner (212) 471-4310 (p),,Midtown South-Flatiron-Union Square
1008290036,"236 5 Ave, New York, NY 10001",Kaufman Organization,Kaufman Organization,1989,11,11,65247,59247,83.5,D,19,,67,C,,,Bryant Park
1008290068,"44 W 28th St, New York, NY 10001",Stellar Management,CBRE,1990,16,13,141830,132830,93.7,A,89,77,,B,Jacob Rosenthal (212) 984-8009 (p),,Midtown South-Flatiron-Union Square
1008300062,"1195 Broadway, New York, NY 10001",Williams Equities,Colliers,2019,10,81,110000,85360,94,A,92,,88,B,Michael Joseph (212) 716-3593 (p),Energy Star,Midtown South-Flatiron-Union Square
1008320001,"856 Ave Of The Americas, New York, NY 10001",Durst Organization,Durst Organization,2008,16,154,187973,166523,100,F,96,,91,A,Rocco Romeo (212) 257-6630 (p),,Bryant Park
1008320017,"1241 Broadway, New York, NY 10001",Corem Property Group,CBRE,2020,22,25,188884,138119.9,68.2,B,83,,80,A,Paul Amrich (212) 984-8122 (p),,Midtown South-Flatiron-Union Square
1008330006,"1255 Broadway, New York, NY 10001",Olmstead Properties,JLL,1987,11,54,120882,109693,97,B,76,,69,A,Paul Glickman (212) 418-2646 (p),,Midtown South-Flatiron-Union Square
1008330011,"1240 Broadway, New York, NY 10001",Vornado Realty Trust,Nomad Group,2014,39,55,706740,570525,82.9,A,94,,83,A,Matthew DeRose (646) 771-6926 (p),,Midtown South-Flatiron-Union Square
1008330038,"302 5 Ave, New York, NY 10016",Meadow Partners,CBRE,2023,14,18,75700,73912,51.1,A,86,,77,A,Peter Turchin (212) 984-8364 (p),,Midtown South-Flatiron-Union Square
1008340019,"39 W 32nd St, New York, NY 10001",Adams & Company,Adams & Company,2005,17,59,61745,58302,91.1,A,85,,88,C,Brett Maslin (917) 326-5530 (p),,Midtown South-Flatiron-Union Square
1008340049,"4 W 33rd St, New York, NY 10001",Adams & Company,Adams & Company,2002,12,133,319200,294200,97.1,B,72,,83,B,David Levy (917) 326-5500 (p),,Garment District
1008360007,"43 W 34th St, New York, NY 10001",GFP Real Estate,Resolution Real Estate,2008,12,1,89582,76144.7,100,C,58,,71,B,Jeffrey Zund (212) 519-2032 (p),,Midtown South-Flatiron-Union Square
1008360026,"7 W 34th St, New York, NY 10001",Vornado Realty Trust,Vornado Realty Trust,2017,12,81,443631,379621,99.6,A,88,,78,B,Jared Silverman (212) 894-7458 (p),,Midtown South-Flatiron-Union Square
1008360033,"1 W 34th St, New York, NY 10001",BLDG Management Co.,CBRE,1989,12,41,62853,50250,74.9,B,71,,81,B,Paul Walker (212) 984-7117 (p),,Midtown South-Flatiron-Union Square
1008360035,"358 5 Ave, New York, NY 10001",Crown Acquisitions,CBRE,1986,13,33,148709,115234.5,77.5,B,78,,78,B,Paul Walker (212) 984-7117 (p),,Midtown South-Flatiron-Union Square
1008360043,"366 5 Ave, New York, NY 10001",Joseph P. Day,Colliers,2016,12,73,154340,141478,79.2,A,100,,94,B,Michael Joseph (212) 716-3593 (p),,Midtown South-Flatiron-Union Square
1008370023,"29 W 35th St, New York, NY 10001",LNR Partners,Colliers,2012,12,19,71180,60503,16.5,B,49,,76,B,Kyle Berlinsky (212) 716-3650 (p),,Midtown-Times Square
1008370036,"3 W 35th St, New York, NY 10018",R F S C,CBRE,1989,12,11,87301,80601,90.7,C,66,,79,B,Paul Walker (212) 984-7117 (p),,Midtown-Times Square
1008370056,"16 W 36th St, New York, NY 10018",Kiamie Industries,Resolution Real Estate,1985,13,12,59367,55367,92,B,73,,82,B,,,Midtown-Times Square
1008370058,"20 W 36th St, New York, NY 10018",Rosen Equities,Koeppel Rosen,1986,12,18,71534,71534,95.9,B,70,,89,C,Max Koeppel (212) 249-1855 (p),,Midtown-Times Square
1008380008,"63 W 36th St, New York, NY 10018",Sioni Group,LSL Advisors,2002,12,1,58825,45443.55,100,B,79,,83,B,David Lolai (212) 564-0245 (p),,Midtown-Times Square
1008380012,"53 W 36th St, New York, NY 10018",Fatollah Hematian,LSL Advisors,2015,12,17,75754,57600,85.7,C,66,,84,B,Daniel Lolai (212) 278-8071 (p),,Midtown-Times Square
1008380015,"43 W 36th St, New York, NY 10018",Samco Properties,Newmark,2025,12,13,108875,99875,90.4,A,96,,95,B,,,Midtown-Times Square
1008380048,"402 5 Ave, New York, NY 10018",NYU,NYU,2015,9,12,83288,68278,88.3,B,80,,75,B,,,Midtown-Times Square
1008380062,"20 W 37th St, New York, NY 10018",Northern Estates,Resolution Real Estate,2017,12,18,75509,59245.85,79.4,A,93,,89,B,,,Midtown-Times Square
1008380076,"48 W 37th St, New York, NY 10018",Adams & Company,Adams & Company,2018,18,28,130625,122068,100,N (exempt),78,,81,B,,,Garment District
1008390009,"49 W 37th St, New York, NY 10018",Samco Properties,Newmark,1982,18,19,155943,131898,84.4,A,87,,88,B,,,Midtown-Times Square
1008390019,"35 W 37th St, New York, NY 10018",Abner Properties,ASM Realty Group,1989,12,13,57698,47698,100,A,93,,94,B,Alan Mandelbaum (212) 695-4363 (p),,Garment District
1008390070,"42 W 38th St, New York, NY 10018",Elo Realty,Okada & Company,1989,12,40,66577,61077,91.1,A,89,,100,B,Ken Lerner (212) 244-4240 (p),,Garment District
1008400023,"29 W 38th St, New York, NY 10018",ABS Partners,ABS Partners,2012,17,1,109172,88739,100,A,72,61,,B,Ben Waller (212) 400-9515 (p),,Garment District
1008400028,"21 W 38th St, New York, NY 10018",Brause Realty,Lee & Associates,1979,17,19,65240,59899,88.4,B,95,,96,B,Woody King (212) 776-4352 (p),,Garment District
1008400031,"15 W 38th St, New York, NY 10018",Abner Properties,Okada & Company,2024,12,17,60449,60049,72.6,N (exempt),41,,66,B,Alex Fleischman (212) 244-4240 (p),LEED Platinum,Midtown-Times Square
1008400058,"16 W 39th St, New York, NY 10018",Behrooz Hedvat,Lee & Associates,2014,12,20,51273,36023,2.9,A,97,,99,B,Catherine O'Toole (212) 961-6252 (p),,Midtown-Times Square
1008400071,"42 W 39th St, New York, NY 10018",Adams & Company,Adams & Company,1979,19,30,157748,148918,88.9,B,80,,87,C,David Levy (917) 326-5500 (p),,Garment District
1008410018,"35 W 39th St, New York, NY 10018",Winoker Realty,Resolution Real Estate,1989,12,43,51000,46200,84.3,B,74,,83,B,,,Garment District
1008410031,"1 W 39th St, New York, NY 10018",Triangle Assets,Triangle Assets,1982,12,1,135332,116534,100,A,100,,100,B,,,Midtown-Times Square
1008410049,"452 5 Ave, New York, NY 10018",Property Group Partners,JLL,2013,29,17,654013,592252,97.9,B,76,,65,A,,,Midtown-Times Square
1008410054,"8 W 40th St, New York, NY 10018",Jack Resnick & Sons,Jack Resnick & Sons,2013,23,1,121758,110907,100,B,77,80,,B,,,Midtown-Times Square
1008420042,"71 5 Ave, New York, NY 10003",Madison International Realty,JLL,2000,11,10,138727,122121,100,B,57,,66,B,Benjamin Bass (212) 812-6026 (p),,Midtown South-Flatiron-Union Square
1008430045,"79 5 Ave, New York, NY 10003",Vornado Realty Trust,Newmark,2016,16,18,272680,256266,88.4,B,70,,72,A,Daniel Levine (212) 372-2319 (p),,Midtown South-Flatiron-Union Square
1008440001,"85 5 Ave, New York, NY 10003",Winoker Realty,Intrepid Real Estate Group,2010,13,13,103022,87408,82.9,A,89,,85,B,David Menaged (646) 859-3074 (p),,Bryant Park
1008440003,"87 5 Ave, New York, NY 10003",Dezer Properties,Kaufman Organization,2015,11,55,57820,52300,100,A,94,,100,B,Jared Sternberg (212) 471-4352 (p),,Bryant Park
1008440042,"91 5 Ave, New York, NY 10003",HRC,Newmark,2012,8,10,51838,32338,100,D,44,85,,B,Eric Cagner (212) 372-2279 (p),,Bryant Park
1008460026,"860 Broadway, New York, NY 10003",Vornado Realty Trust,JLL,1979,6,6,75799,56761,100,B,76,,73,B,Seth Hecht (212) 812-6548 (p),,Financial District
1008470040,"230 Park Ave South, New York, NY 10003",TF Cornerstone,TF Cornerstone,2020,13,20,350000,340127,100,B,75,75,,A,,,Midtown South-Flatiron-Union Square
1008490016,"902 Broadway, New York, NY 10010",Rosen Equities,Koeppel Rosen,1985,20,31,342429,309550,76.6,B,75,,71,B,Max Koeppel (212) 249-1855 (p),,Midtown South-Flatiron-Union Square
1008490031,"45 E 20th St, New York, NY 10003",Abner Properties,Koeppel Rosen,1984,12,16,65600,59694,92.4,A,93,,93,C,Max Koeppel (212) 249-1855 (p),,Flatiron
1008490063,"912 Broadway, New York, NY 10010",ABS Partners,ABS Partners,1982,17,39,98394,86000,100,A,86,,89,B,James Caseley (212) 400-6075 (p),,Midtown South-Flatiron-Union Square
1008500001,"149 5 Ave, New York, NY 10010",Brookfield,Newmark,2013,16,26,173159,173159,100,B,82,,78,A,,,Bryant Park
1008500025,"33 E 21st St, New York, NY 10010",Centaur Properties,Newmark,2012,10,1,100000,85000,100,A,91,,87,B,Brett Harvey (212) 372-2099 (p),,Midtown South-Flatiron-Union Square
1008510041,"304 Park Ave South, New York, NY 10010",SL Green Realty,SL Green Realty,2019,12,52,211732,158815,90.7,B,77,85,,A,,,Midtown South-Flatiron-Union Square
1008550037,"35 Madison Ave, New York, NY 10010",Rudin,Rudin,2018,43,159,562152,518623,92.1,D,39,,52,A,Robert Steinman (212) 407-2490 (p),,Midtown South-Flatiron-Union Square
1008560009,"11 E 26th St, New York, NY 10010",Adams & Company,Newmark,1979,21,35,217991,206991,50.3,B,72,,79,B,William Cohen (212) 372-2233 (p),,Midtown South-Flatiron-Union Square
1008560058,"60 Madison Ave, New York, NY 10010",Moinian Group,CBRE,2017,12.5,60,175428,156333,69.4,B,77,88,,B,Gregg Rothkin (212) 984-8192 (p),,Midtown South-Flatiron-Union Square
1008570024,"63 Madison Ave, New York, NY 10016",George Comfort & Sons,George Comfort & Sons,2020,15,2,786069,600580,77.7,C,64,75,,A,Alexander Bermingham (212) 542-2189 (p),,Midtown South-Flatiron-Union Square
1008570062,"72 Madison Ave, New York, NY 10016",Moinian Group,Newmark,2014,12,1,58500,49725,100,C,64,76,,B,Erik Harris (212) 372-2105 (p),,Midtown South-Flatiron-Union Square
1008580006,"3 E 28th St, New York, NY 10016",Winter Organization,Newmark,2016,12,13,58952,52767,100,B,81,,82,B,Kevin Sullivan (212) 850-5462 (p),,Midtown South-Flatiron-Union Square
1008580022,"79 Madison Ave, New York, NY 10016",Williams Equities,Colliers,2016,16,24,257637,205239,54.7,A,95,,84,B,Michael Berger (212) 716-3643 (p),,Midtown South-Flatiron-Union Square
1008580049,"38 E 29th St, New York, NY 10016",East 29 Associates,Newmark,1986,10,15,60000,52785,44.4,A,85,93,,B,Jared Horowitz (212) 372-2022 (p),,Midtown South-Flatiron-Union Square
1008590015,"102 Madison Ave, New York, NY 10016",A. Ruth,Adams & Company,2015,12,13,108290,100677,89.8,A,91,,88,B,Brad Cohn (917) 326-5537 (p),,Midtown South-Flatiron-Union Square
1008590024,"99 Madison Ave, New York, NY 10016",Windsor Management,Savitt Partners,1986,17,19,120000,112500,100,A,90,,86,B,Elliot Zelinger (212) 452-6078 (p),,Midtown South-Flatiron-Union Square
1008590048,"434 Park Ave South, New York, NY 10016",Samco Properties,Newmark,2016,16,16,160709,136437,83.5,B,82,,79,B,Brett Harvey (212) 372-2099 (p),,Midtown South-Flatiron-Union Square
1008590052,"44 E 30th St, New York, NY 10016",Brookfield,Newmark,2005,13,6,75655,49000,100,C,68,,91,B,Zach Weil (646) 441-3744 (p),,Midtown East
